Date,Currency,Mean,Buy,Sell,Year,Month,Annual Average Inflation,12-Month Inflation,Nominal GDP prices (Ksh Million),Annual GDP growth (%),Real GDP prices (Ksh Million),Exchange_Rate_Variability,Inflation_Monthly_Change,Average_GDP_Growth_3Y,Exchange_Rate_Lagged,Relative_Exchange_Rate,Inflation_Rate_Differential,GDP_Growth_Change
30/12/2022,US DOLLAR,123.3735,123.2735,123.4735,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,,,,0,1.4000000000000004,
29/12/2022,US DOLLAR,123.3294,123.2294,123.4294,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,,123.3735,0,1.4000000000000004,0.0
28/12/2022,US DOLLAR,123.2588,123.1588,123.3588,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,123.3294,0,1.4000000000000004,0.0
23/12/2022,US DOLLAR,123.2088,123.1088,123.3088,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,123.2588,0,1.4000000000000004,0.0
22/12/2022,US DOLLAR,123.1647,123.0647,123.2647,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,123.2088,0,1.4000000000000004,0.0
21/12/2022,US DOLLAR,123.1441,123.0441,123.2441,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,123.1647,0,1.4000000000000004,0.0
20/12/2022,US DOLLAR,123.0941,122.9941,123.1941,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,123.1441,0,1.4000000000000004,0.0
19/12/2022,US DOLLAR,123.0471,122.9471,123.1471,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.19999999999998863,0.0,4.8,123.0941,0,1.4000000000000004,0.0
16/12/2022,US DOLLAR,122.9882,122.8882,123.0882,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,123.0471,0,1.4000000000000004,0.0
15/12/2022,US DOLLAR,122.9412,122.8412,123.0412,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,122.9882,0,1.4000000000000004,0.0
14/12/2022,US DOLLAR,122.8971,122.7971,122.9971,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,122.9412,0,1.4000000000000004,0.0
13/12/2022,US DOLLAR,122.8382,122.7382,122.9382,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.19999999999998863,0.0,4.8,122.8971,0,1.4000000000000004,0.0
12/10/2022,US DOLLAR,120.9118,120.8118,121.0118,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.19999999999998863,0.0,4.8,122.8382,0,1.4000000000000004,0.0
12/9/2022,US DOLLAR,120.3353,120.2353,120.4353,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,120.9118,0,1.4000000000000004,0.0
12/8/2022,US DOLLAR,119.3118,119.2118,119.4118,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,120.3353,0,1.4000000000000004,0.0
12/7/2022,US DOLLAR,118.1324,118.0324,118.2324,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,119.3118,0,1.4000000000000004,0.0
12/5/2022,US DOLLAR,116.0971,115.9971,116.1971,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,118.1324,0,1.4000000000000004,0.0
12/4/2022,US DOLLAR,115.3765,115.2765,115.4765,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,116.0971,0,1.4000000000000004,0.0
12/1/2022,US DOLLAR,113.3118,113.2118,113.4118,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,115.3765,0,1.4000000000000004,0.0
9/12/2022,US DOLLAR,122.7912,122.6912,122.8912,2022,9,6.81,9.18,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.11999999999999922,4.8,113.3118,0,2.37,0.0
9/11/2022,US DOLLAR,121.6706,121.5706,121.7706,2022,9,6.81,9.18,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,122.7912,0,2.37,0.0
30/09/2022,US DOLLAR,120.7324,120.6324,120.8324,2022,9,6.81,9.18,"13,368,340",4.8,"9,851,329",0.20000000000000284,0.0,4.8,121.6706,0,2.37,0.0
