Date,Currency,Mean,Buy,Sell,Year,Month,Annual Average Inflation,12-Month Inflation,Nominal GDP prices (Ksh Million),Annual GDP growth (%),Real GDP prices (Ksh Million)
2022-12-30,US DOLLAR,123.3735,123.2735,123.4735,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-29,US DOLLAR,123.3294,123.2294,123.4294,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-28,US DOLLAR,123.2588,123.1588,123.3588,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-23,US DOLLAR,123.2088,123.1088,123.3088,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-22,US DOLLAR,123.1647,123.0647,123.2647,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-21,US DOLLAR,123.1441,123.0441,123.2441,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-20,US DOLLAR,123.0941,122.9941,123.1941,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-19,US DOLLAR,123.0471,122.9471,123.1471,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-16,US DOLLAR,122.9882,122.8882,123.0882,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-15,US DOLLAR,122.9412,122.8412,123.0412,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-14,US DOLLAR,122.8971,122.7971,122.9971,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-13,US DOLLAR,122.8382,122.7382,122.9382,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-09,US DOLLAR,122.7912,122.6912,122.8912,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-08,US DOLLAR,122.7382,122.6382,122.8382,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-07,US DOLLAR,122.6853,122.5853,122.7853,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-06,US DOLLAR,122.6324,122.5324,122.7324,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-05,US DOLLAR,122.5912,122.4912,122.6912,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-02,US DOLLAR,122.5324,122.4324,122.6324,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-12-01,US DOLLAR,122.5,122.4,122.6,2022,12,7.66,9.06,"13,368,340",4.8,"9,851,329"
2022-11-30,US DOLLAR,122.4471,122.3471,122.5471,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-29,US DOLLAR,122.3765,122.2765,122.4765,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-28,US DOLLAR,122.3353,122.2353,122.4353,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-25,US DOLLAR,122.2794,122.1794,122.3794,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-24,US DOLLAR,122.2294,122.1294,122.3294,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-23,US DOLLAR,122.1824,122.0824,122.2824,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-22,US DOLLAR,122.1265,122.0265,122.2265,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-21,US DOLLAR,122.0794,121.9794,122.1794,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-18,US DOLLAR,122.0294,121.9294,122.1294,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-17,US DOLLAR,121.9794,121.8794,122.0794,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-16,US DOLLAR,121.9294,121.8294,122.0294,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-15,US DOLLAR,121.8971,121.7971,121.9971,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-14,US DOLLAR,121.8265,121.7265,121.9265,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-11,US DOLLAR,121.7824,121.6824,121.8824,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-10,US DOLLAR,121.7382,121.6382,121.8382,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-09,US DOLLAR,121.6706,121.5706,121.7706,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-08,US DOLLAR,121.6118,121.5118,121.7118,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-07,US DOLLAR,121.5382,121.4382,121.6382,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-04,US DOLLAR,121.4971,121.3971,121.5971,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-03,US DOLLAR,121.4529,121.3529,121.5529,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-02,US DOLLAR,121.4147,121.3147,121.5147,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-11-01,US DOLLAR,121.3794,121.2794,121.4794,2022,11,7.38,9.48,"13,368,340",4.8,"9,851,329"
2022-10-31,US DOLLAR,121.3324,121.2324,121.4324,2022,10,7.48,9.59,"13,368,340",4.8,"9,851,329"
2022-10-28,US DOLLAR,121.3118,121.2118,121.4118,2022,10,7.48,9.59,"13,368,340",4.8,"9,851,329"
2022-10-27,US DOLLAR,121.2735,121.1735,121.3735,2022,10,7.48,9.59,"13,368,340",4.8,"9,851,329"
2022-10-26,US DOLLAR,121.2324,121.1324,121.3324,2022,10,7.48,9.59,"13,368,340",4.8,"9,851,329"
2022-10-25,US DOLLAR,121.1941,121.0941,121.2941,2022,10,7.48,9.59,"13,368,340",4.8,"9,851,329"
2022-10-24,US DOLLAR,121.1676,121.0676,121.2676,2022,10,7.48,9.59,"13,368,340",4.8,"9,851,329"
